DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.03. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,
Sensor code,,,,,,,,,,
        Datum, BoTemp10, BoTemp20, BoTemp30, Theta201, Theta202, w_up_con, Theta801, Theta802, Lys_Akku
Units,,,,,,,,,,
Minimum value,,,,,,,,,,
Maximum value,,,,,,,,,,
13.01. 09:30 ,   -18.03,     1.13,    21.33,    39.93,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 10:00 ,   -18.03,     1.24,    21.17,    39.93,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 10:30 ,   -18.03,     1.51,    21.17,    39.89,    33.91,  26.8610,    35.54,    35.68,  27.9760
13.01. 11:00 ,   -18.03,     1.80,    21.33,    39.93,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 11:30 ,   -18.03,     2.67,    21.99,    39.81,    33.85,  26.7560,    35.42,    35.60,  27.8670
13.01. 12:00 ,   -18.03,     2.82,    22.42,    39.72,    33.75,  26.6250,    35.34,    35.52,  27.7300
13.01. 12:30 ,   -18.03,     2.39,    21.36,    39.92,    33.94,  26.8610,    35.50,    35.65,  27.9760
13.01. 13:00 ,   -18.03,     2.62,    21.34,    39.87,    33.87,  26.7820,    35.45,    35.59,  27.8940
13.01. 13:30 ,   -18.03,     2.85,    21.34,    39.92,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 14:00 ,   -18.03,     2.97,    21.34,    39.92,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 14:30 ,   -18.03,     3.03,    21.34,    39.92,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 15:00 ,   -18.03,     3.09,    21.51,    39.92,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 15:30 ,   -18.03,     2.97,    21.51,    39.92,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 16:00 ,   -18.03,     2.91,    21.51,    39.92,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 16:30 ,   -18.03,     2.74,    21.51,    39.92,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 17:00 ,   -18.03,     2.44,    21.51,    39.96,    33.94,  26.8610,    35.50,    35.72,  27.9760
13.01. 17:30 ,   -18.03,     2.15,    21.50,    39.92,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 18:00 ,   -18.03,     1.86,    21.50,    39.92,    33.94,  26.8610,    35.50,    35.72,  27.9760
13.01. 18:30 ,   -18.03,     1.63,    21.50,    39.92,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 19:00 ,   -18.03,     1.40,    21.33,    39.93,    33.91,  26.8610,    35.50,    35.68,  27.9760
13.01. 19:30 ,   -18.03,     1.35,    21.50,    39.93,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 20:00 ,   -18.03,     1.35,    21.33,    39.93,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 20:30 ,   -18.03,     1.29,    21.33,    39.93,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 21:00 ,   -18.03,     1.35,    21.33,    39.93,    33.94,  26.8610,    35.50,    35.68,  27.9760
13.01. 21:30 ,   -18.03,     1.35,    21.33,    39.93,    33.94,  26.8610,    35.50,    35.65,  27.9760
13.01. 22:00 ,   -18.03,     1.35,    21.33,    39.89,    33.91,  26.8610,    35.46,    35.65,  27.9760
13.01. 22:30 ,   -18.03,     1.29,    21.33,    39.93,    33.91,  26.8610,    35.46,    35.65,  27.9760
13.01. 23:00 ,   -18.03,     1.24,    21.33,    39.89,    33.91,  26.8610,    35.46,    35.65,  27.9760
13.01. 23:30 ,   -18.03,     1.29,    21.33,    39.89,    33.88,  26.8610,    35.46,    35.65,  27.9760
14.01. 00:00 ,   -18.03,     1.24,    21.33,    39.89,    33.88,  26.8610,    35.43,    35.61,  27.9760
14.01. 00:30 ,   -18.03,     1.13,    21.33,    39.89,    33.91,  26.8610,    35.46,    35.65,  27.9760
14.01. 01:00 ,   -18.03,     1.08,    21.33,    39.89,    33.88,  26.8610,    35.46,    35.61,  27.9760
14.01. 01:30 ,   -18.03,     1.08,    21.33,    39.93,    33.91,  26.8610,    35.46,    35.65,  27.9760
14.01. 02:00 ,   -18.03,     0.97,    21.17,    39.89,    33.91,  26.8610,    35.46,    35.61,  27.9760
14.01. 02:30 ,   -18.03,     0.87,    21.17,    39.93,    33.91,  26.8610,    35.46,    35.61,  27.9760
14.01. 03:00 ,    30.03,    30.03,    30.03,    29.96,    25.66,  19.7240,    31.46,    31.61,  20.5430
14.01. 03:30 ,   -18.03,     0.71,    21.17,    39.89,    33.88,  26.8610,    35.43,    35.61,  19.9900
14.01. 04:00 ,   -18.03,     0.71,    21.16,    39.89,    33.88,  26.8610,    35.43,    35.61,  27.9760
14.01. 04:30 ,   -18.03,     0.76,    21.16,    39.89,    33.91,  26.8610,    35.43,    35.61,  27.9760
14.01. 05:00 ,   -18.03,     0.81,    21.16,    39.89,    33.88,  26.8610,    35.39,    35.61,  27.9760
14.01. 05:30 ,   -18.03,     0.76,    21.16,    39.89,    33.88,  26.8610,    35.39,    35.61,  27.9760
14.01. 06:00 ,   -18.03,    17.59,    29.05,    37.06,    31.54,   6.7560,    32.90,    33.07,   7.0640
14.01. 06:30 ,   -18.03,    12.35,    28.80,    37.84,    32.26,   7.8320,    33.62,    33.76,   8.1300
14.01. 07:00 ,   -18.03,     4.84,    27.15,    38.97,    33.19,  13.5780,    34.50,    34.64,  11.4640
14.01. 07:30 ,   -18.03,    10.46,    24.87,    37.68,    32.48,   8.3570,    33.67,    33.87,   8.6010
14.01. 08:00 ,    10.43,     8.85,    27.47,    37.98,    32.34,   8.0880,    33.82,    33.96,   8.4710
14.01. 08:30 ,   -18.03,     2.00,    22.05,    39.77,    33.79,  26.7300,    35.27,    35.49,  27.8390
14.01. 09:00 ,   -18.03,     0.49,    21.16,    39.89,    33.88,  26.8610,    35.39,    35.57,  27.9760
14.01. 09:30 ,   -18.03,     0.61,    21.19,    39.89,    33.88,  26.8610,    35.39,    35.57,  27.9760
14.01. 10:00 ,   -18.03,    16.20,    26.23,    37.71,    32.10,   7.5370,    33.55,    33.18,   8.3210
14.01. 10:30 ,    30.03,    30.03,    30.03,    32.67,    28.05,   4.7880,    29.44,    29.72,   5.0690
14.01. 11:00 ,   -18.03,    14.64,    30.03,    39.45,    33.45,  10.1340,    34.76,    35.13,  14.9270
14.01. 11:30 ,   -18.03,     1.87,    21.19,    39.88,    33.88,  26.8610,    35.35,    35.57,  27.9760
14.01. 12:00 ,    30.03,    30.03,    30.03,    33.46,    28.50,   5.1490,    29.96,    30.13,   5.2060
14.01. 12:30 ,    30.03,    30.03,    30.03,    33.70,    28.64,   5.2800,    29.95,    30.14,   5.5340
14.01. 13:00 ,   -18.03,     2.74,    21.34,    39.89,    33.91,  26.8610,    35.35,    35.57,  27.9760
14.01. 13:30 ,   -18.03,     3.09,    21.34,    39.89,    33.91,  26.8610,    35.35,    35.61,  27.9760
14.01. 14:00 ,   -18.03,     4.93,    23.30,    39.47,    33.55,  26.3620,    34.89,    35.19,  27.4570
14.01. 14:30 ,   -18.03,     3.41,    21.34,    39.89,    33.88,  26.8610,    35.35,    35.57,  27.9760
14.01. 15:00 ,   -18.03,     3.54,    21.34,    39.89,    33.88,  26.8610,    35.35,    35.57,  27.9760
14.01. 15:30 ,   -18.03,     3.60,    21.34,    39.89,    33.88,  26.8610,    35.32,    35.43,  27.9760
14.01. 16:00 ,   -18.03,     3.54,    21.34,    39.89,    33.88,  26.8610,    35.35,    35.46,  27.9760
14.01. 16:30 ,   -18.03,     3.54,    21.34,    39.89,    33.88,  26.8610,    35.35,    35.46,  27.9760
14.01. 17:00 ,   -18.03,     3.47,    21.34,    39.89,    33.88,  26.8610,    35.35,    35.42,  27.9760
14.01. 17:30 ,   -18.03,     3.48,    21.51,    39.89,    33.88,  26.8610,    35.32,    35.42,  27.9760
14.01. 18:00 ,   -18.03,     3.41,    21.51,    39.89,    33.88,  26.8610,    35.32,    35.42,  27.9760
14.01. 18:30 ,   -18.03,     3.35,    21.51,    39.89,    33.88,  26.8610,    35.31,    35.42,  27.9760
14.01. 19:00 ,   -18.03,     3.38,    21.59,    39.84,    33.85,  26.8080,    35.24,    35.35,  27.9210
14.01. 19:30 ,   -18.03,     3.28,    21.51,    39.89,    33.88,  26.8610,    35.32,    35.39,  27.9760
14.01. 20:00 ,   -18.03,     3.37,    21.57,    39.84,    33.84,  26.8340,    35.31,    35.38,  27.9490
14.01. 20:30 ,   -18.03,     3.16,    21.51,    39.85,    33.88,  26.8610,    35.32,    35.39,  27.9760
14.01. 21:00 ,   -18.03,     4.05,    22.52,    39.55,    33.65,  26.5200,    35.02,    35.13,  27.6210
14.01. 21:30 ,   -18.03,     3.03,    21.51,    39.85,    33.88,  26.8610,    35.28,    35.39,  27.9760
14.01. 22:00 ,   -18.03,     2.91,    21.51,    39.85,    33.85,  26.8610,    35.28,    35.39,  27.9760
14.01. 22:30 ,   -18.03,     2.85,    21.50,    39.85,    33.85,  26.8610,    35.28,    35.39,  27.9760
14.01. 23:00 ,   -18.03,     2.79,    21.50,    39.89,    33.91,  26.8610,    35.32,    35.43,  27.9760
14.01. 23:30 ,   -18.03,     2.74,    21.50,    39.89,    33.88,  26.8610,    35.32,    35.39,  27.9760
15.01. 00:00 ,   -18.03,     2.68,    21.50,    39.85,    33.85,  26.8610,    35.28,    35.35,  27.9760
15.01. 00:30 ,   -18.03,     2.62,    21.50,    39.85,    33.88,  26.8610,    35.28,    35.35,  27.9760
15.01. 01:00 ,   -18.03,     2.77,    22.25,    39.89,    33.88,  26.8610,    35.28,    35.39,  27.9760
15.01. 01:30 ,   -18.03,     2.50,    21.50,    39.85,    33.85,  26.8610,    35.24,    35.35,  27.9760
15.01. 02:00 ,   -18.03,     3.93,    22.53,    38.91,    33.03,  14.3190,    34.31,    34.48,  13.0420
15.01. 02:30 ,   -18.03,     2.39,    21.50,    39.85,    33.85,  26.8610,    35.28,    35.35,  27.9760
15.01. 03:00 ,   -18.03,     2.44,    21.50,    39.85,    33.88,  26.8610,    35.28,    35.35,  27.9760
15.01. 03:30 ,   -18.03,     2.38,    21.50,    39.85,    33.85,  26.8610,    35.24,    35.35,  27.9760
15.01. 04:00 ,   -18.03,     2.38,    21.50,    39.85,    33.85,  26.8610,    35.28,    35.35,  27.9760
15.01. 04:30 ,   -18.03,     2.33,    21.50,    39.81,    33.85,  26.8610,    35.24,    35.35,  27.9760
15.01. 05:00 ,   -18.03,     2.27,    21.52,    39.85,    33.88,  26.8610,    35.24,    35.35,  27.9760
15.01. 05:30 ,   -18.03,     2.33,    21.50,    39.85,    33.88,  26.8610,    35.24,    35.32,  27.9760
15.01. 06:00 ,   -18.03,     2.33,    21.50,    34.63,    23.96,   4.8470,    25.23,    25.23,   5.0420
15.01. 06:30 ,   -18.03,     2.38,    21.50,    39.81,    33.85,  26.8610,    35.24,    35.32,  27.9760
15.01. 07:00 ,   -18.03,     2.39,    21.50,    39.85,    33.88,  26.8610,    35.24,    35.32,  27.9760
15.01. 07:30 ,   -18.03,     2.33,    21.34,    39.85,    33.85,  26.8610,    35.21,    35.32,  27.9760
15.01. 08:00 ,   -18.03,     2.27,    21.50,    39.82,    33.85,  26.8610,    35.21,    35.28,  27.9760
15.01. 08:30 ,   -18.03,     2.27,    21.50,    39.85,    33.88,  26.8610,    35.17,    35.32,  27.9760
15.01. 09:00 ,   -18.03,     2.27,    21.34,    39.85,    33.88,  26.8610,    35.21,    35.32,  27.9760
15.01. 09:30 ,   -18.03,     2.38,    21.50,    39.82,    33.85,  26.8610,    35.17,    35.28,  27.9760
15.01. 10:00 ,   -18.03,     7.35,    21.34,    38.58,    32.86,   9.7080,    34.06,    34.17,  10.5210
15.01. 10:30 ,   -18.03,     2.73,    21.50,    39.81,    33.85,  26.8610,    35.17,    35.28,  27.9760
15.01. 11:00 ,   -18.03,    14.00,    17.92,    35.96,    30.40,   5.8900,    31.85,    32.05,   6.1690
15.01. 11:30 ,   -18.03,     3.42,    21.71,    39.78,    33.82,  26.8080,    35.10,    35.24,  27.9210
15.01. 12:00 ,   -18.03,     3.60,    21.51,    39.81,    33.85,  26.8610,    35.17,    35.28,  27.9760
15.01. 12:30 ,   -18.03,     3.86,    21.51,    39.85,    33.85,  26.8610,    35.13,    35.28,  27.9760
15.01. 13:00 ,   -18.03,     4.11,    21.51,    39.85,    33.88,  26.8610,    35.17,    35.28,  27.9760
15.01. 13:30 ,   -18.03,     4.43,    21.51,    39.85,    33.85,  26.8610,    35.17,    35.28,  27.9760
15.01. 14:00 ,   -18.03,     4.56,    21.51,    39.81,    33.85,  26.8610,    35.13,    35.24,  27.9760
15.01. 14:30 ,   -18.03,     4.56,    21.51,    39.81,    33.85,  26.8610,    35.13,    35.24,  27.9760
15.01. 15:00 ,   -18.03,     4.56,    21.51,    39.81,    33.85,  26.8610,    35.13,    35.24,  27.9760
15.01. 15:30 ,   -18.03,     4.56,    21.68,    39.81,    33.85,  26.8610,    35.13,    35.24,  27.9760
15.01. 16:00 ,   -18.03,     4.49,    21.68,    39.81,    33.82,  26.8610,    35.13,    35.24,  27.9760
15.01. 16:30 ,    26.70,    30.03,    30.03,    39.74,    33.82,  26.8610,    35.13,    35.20,  27.9760
15.01. 17:00 ,   -18.03,     6.20,    22.10,    37.82,    31.65,   7.8120,    32.84,    33.61,  24.9970
15.01. 17:30 ,   -18.03,     4.11,    21.68,    39.81,    33.82,  26.8610,    35.06,    35.17,  27.9760
15.01. 18:00 ,   -18.03,     4.05,    21.68,    39.81,    33.82,  26.8610,    35.02,    35.21,  27.9760
15.01. 18:30 ,   -18.03,     3.98,    21.68,    39.78,    33.82,  26.8610,    35.02,    35.17,  27.9760
15.01. 19:00 ,   -18.03,     3.86,    21.68,    39.81,    33.82,  26.8610,    35.02,    35.17,  27.9760
15.01. 19:30 ,   -18.03,     3.73,    21.67,    39.78,    33.82,  26.8610,    35.02,    35.17,  27.9760
15.01. 20:00 ,   -18.03,     3.66,    21.67,    39.78,    33.82,  26.8610,    35.02,    35.17,  27.9760
15.01. 20:30 ,   -18.03,     3.60,    21.67,    39.78,    33.82,  26.8610,    34.99,    35.13,  27.9760
15.01. 21:00 ,   -18.03,     3.54,    21.67,    39.78,    33.82,  26.8610,    35.02,    35.13,  27.9760
15.01. 21:30 ,   -18.03,     3.47,    21.67,    39.74,    33.82,  26.8610,    34.99,    35.13,  27.9760
15.01. 22:00 ,   -18.03,     3.41,    21.67,    39.74,    33.82,  26.8610,    34.99,    35.13,  27.9760
15.01. 22:30 ,   -18.03,     3.35,    21.67,    39.74,    33.82,  26.8610,    34.99,    35.10,  27.9760
15.01. 23:00 ,   -18.03,     3.47,    21.67,    39.74,    33.82,  26.8610,    34.99,    35.10,  27.9760
15.01. 23:30 ,   -18.03,     3.47,    21.67,    39.74,    33.82,  26.8610,    35.02,    35.10,  27.9760
16.01. 00:00 ,   -18.03,     3.47,    21.67,    39.74,    33.82,  26.8610,    34.99,    35.10,  27.9760
16.01. 00:30 ,   -18.03,     3.47,    21.67,    39.78,    33.82,  26.8610,    34.99,    35.10,  27.9760
16.01. 01:00 ,   -18.03,     3.47,    21.67,    39.74,    33.82,  26.8610,    34.99,    35.10,  27.9760
16.01. 01:30 ,   -18.03,     3.41,    21.67,    39.74,    33.82,  26.8610,    34.96,    35.10,  27.9760
16.01. 02:00 ,   -18.03,     3.41,    21.67,    39.78,    33.82,  26.8610,    34.99,    35.10,  27.9760
16.01. 02:30 ,   -18.03,     3.60,    21.67,    39.78,    33.82,  26.8610,    34.96,    35.10,  27.9760
16.01. 03:00 ,   -18.03,     3.66,    21.67,    39.74,    33.82,  26.8610,    34.96,    35.10,  27.9760
16.01. 03:30 ,   -18.03,     3.79,    21.67,    39.74,    33.82,  26.8610,    34.96,    35.10,  27.9760
16.01. 04:00 ,   -18.03,     3.79,    21.67,    39.74,    33.82,  26.8610,    34.96,    35.10,  27.9760
16.01. 04:30 ,   -18.03,     3.79,    21.67,    39.74,    33.79,  26.8610,    34.96,    35.06,  27.9760
16.01. 05:00 ,   -18.03,     3.79,    21.67,    39.78,    33.82,  26.8610,    34.93,    35.06,  27.9760
16.01. 05:30 ,   -18.03,     3.85,    21.67,    39.74,    33.82,  26.8610,    34.93,    35.06,  27.9760
16.01. 06:00 ,   -18.03,     3.85,    21.67,    39.78,    33.82,  26.8610,    34.93,    35.06,  27.9760
16.01. 06:30 ,   -18.03,     3.85,    21.67,    39.74,    33.82,  26.8610,    34.93,    35.02,  27.9760
16.01. 07:00 ,   -18.03,     3.85,    21.67,    39.78,    33.82,  26.8610,    34.93,    35.06,  27.9760
16.01. 07:30 ,   -18.03,     3.79,    21.67,    39.78,    33.79,  26.8610,    34.93,    35.06,  27.9760
16.01. 08:00 ,   -18.03,     3.79,    21.67,    39.74,    33.79,  26.8610,    34.93,    35.02,  27.9760
16.01. 08:30 ,   -18.03,     3.79,    21.67,    39.74,    33.82,  26.8610,    34.93,    35.02,  27.9760
16.01. 09:00 ,   -18.03,     3.85,    21.67,    39.78,    33.82,  26.8610,    34.93,    35.02,  27.9760
16.01. 09:30 ,   -18.03,     3.92,    21.67,    39.74,    33.82,  26.8610,    34.93,    35.02,  27.9760
16.01. 10:00 ,   -18.03,     4.04,    21.67,    39.74,    33.79,  26.8610,    34.90,    35.02,  27.9760
16.01. 10:30 ,   -18.03,     4.24,    21.67,    39.74,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 11:00 ,   -18.03,     4.43,    21.67,    39.74,    33.79,  26.8610,    34.90,    35.02,  27.9760
16.01. 11:30 ,   -18.03,     4.56,    21.84,    39.74,    33.82,  26.8610,    34.93,    35.02,  27.9760
16.01. 12:00 ,   -18.03,     4.76,    21.84,    39.74,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 12:30 ,   -18.03,     4.90,    21.84,    39.74,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 13:00 ,   -18.03,     5.18,    21.84,    39.74,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 13:30 ,   -18.03,     5.53,    21.85,    39.74,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 14:00 ,   -18.03,     5.59,    21.85,    39.74,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 14:30 ,   -18.03,     5.60,    21.85,    39.70,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 15:00 ,   -18.03,     5.60,    21.85,    39.70,    33.79,  26.8610,    34.93,    34.99,  27.9760
16.01. 15:30 ,   -18.03,     5.60,    21.85,    39.70,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 16:00 ,   -18.03,     5.53,    21.85,    39.70,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 16:30 ,   -18.03,     5.32,    22.01,    39.74,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 17:00 ,   -18.03,     5.11,    22.01,    39.70,    33.79,  26.8610,    34.90,    34.99,  27.9760
16.01. 17:30 ,   -18.03,     4.90,    22.01,    39.70,    33.79,  26.8610,    34.87,    34.99,  27.9760
16.01. 18:00 ,   -18.03,     4.63,    22.01,    39.70,    33.79,  26.8610,    34.87,    34.96,  27.9760
16.01. 18:30 ,   -18.03,     4.43,    22.01,    39.70,    33.76,  26.8610,    34.87,    34.96,  27.9760
16.01. 19:00 ,   -18.03,     4.24,    22.00,    39.70,    33.79,  26.8610,    34.87,    34.96,  27.9760
16.01. 19:30 ,   -18.03,     4.04,    22.00,    39.70,    33.77,  26.8610,    34.87,    34.96,  27.9760
16.01. 20:00 ,   -18.03,     3.79,    22.00,    39.70,    33.77,  26.8610,    34.87,    34.96,  27.9760
16.01. 20:30 ,   -18.03,     3.60,    21.84,    39.67,    33.77,  26.8610,    34.87,    34.96,  27.9760
16.01. 21:00 ,   -18.03,     3.41,    21.84,    39.70,    33.79,  26.8610,    34.87,    34.96,  27.9760
16.01. 21:30 ,   -18.03,     3.28,    21.84,    39.67,    33.77,  26.8610,    34.88,    34.93,  27.9760
16.01. 22:00 ,   -18.03,     3.09,    21.83,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
16.01. 22:30 ,   -18.03,     2.97,    21.83,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
16.01. 23:00 ,   -18.03,     2.79,    21.83,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
16.01. 23:30 ,   -18.03,     2.68,    21.83,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
17.01. 00:00 ,   -18.03,     2.56,    21.83,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
17.01. 00:30 ,   -18.03,     2.44,    21.83,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
17.01. 01:00 ,   -18.03,     2.50,    21.67,    39.63,    33.77,  26.8610,    34.85,    34.93,  27.9760
17.01. 01:30 ,   -18.03,     2.38,    21.67,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
17.01. 02:00 ,   -18.03,     2.27,    21.66,    39.67,    33.77,  26.8610,    34.85,    34.93,  27.9760
17.01. 02:30 ,   -18.03,     2.15,    21.66,    39.67,    33.77,  26.8610,    34.85,    34.90,  27.9760
17.01. 03:00 ,   -18.03,     2.03,    21.66,    39.67,    33.77,  26.8610,    34.82,    34.90,  27.9760
17.01. 03:30 ,   -18.03,     1.98,    21.66,    39.67,    33.77,  26.8610,    34.82,    34.90,  27.9760
17.01. 04:00 ,   -18.03,     1.92,    21.66,    39.63,    33.74,  26.8610,    34.82,    34.90,  27.9760
17.01. 04:30 ,   -18.03,     1.98,    21.66,    39.63,    33.77,  26.8610,    34.85,    34.90,  27.9760
17.01. 05:00 ,   -18.03,     2.03,    21.50,    39.63,    33.77,  26.8610,    34.82,    34.90,  27.9760
17.01. 05:30 ,   -18.03,     2.09,    21.50,    39.63,    33.77,  26.8610,    34.82,    34.90,  27.9760
17.01. 06:00 ,   -18.03,     2.15,    21.50,    39.67,    33.77,  26.8610,    34.82,    34.90,  27.9760
17.01. 06:30 ,   -18.03,     2.15,    21.50,    39.63,    33.77,  26.8610,    34.82,    34.90,  27.9760
17.01. 07:00 ,   -18.03,     2.09,    21.50,    39.67,    33.77,  26.8610,    34.82,    34.90,  27.9760
17.01. 07:30 ,   -18.03,     2.09,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.90,  27.9760
17.01. 08:00 ,   -18.03,     2.03,    21.50,    39.63,    33.77,  26.8610,    34.73,    34.90,  27.9760
17.01. 08:30 ,   -18.03,     2.03,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.88,  27.9760
17.01. 09:00 ,   -18.03,     2.09,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.88,  27.9760
17.01. 09:30 ,   -18.03,     2.27,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.88,  27.9760
17.01. 10:00 ,   -18.03,     2.38,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.88,  27.9760
17.01. 10:30 ,   -18.03,     2.62,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.88,  27.9760
17.01. 11:00 ,   -18.03,     2.97,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.88,  27.9760
17.01. 11:30 ,   -18.03,     3.34,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.88,  27.9760
17.01. 12:00 ,   -18.03,     3.66,    21.50,    39.67,    33.77,  26.8610,    34.73,    34.87,  27.9760
17.01. 12:30 ,   -18.03,     4.11,    21.51,    39.67,    33.77,  26.8610,    34.73,    34.90,  27.9760
17.01. 13:00 ,   -18.03,     4.30,    21.67,    39.67,    33.76,  26.8610,    34.73,    34.87,  27.9760
17.01. 13:30 ,   -18.03,     4.43,    21.67,    39.67,    33.76,  26.8610,    34.73,    34.87,  27.9760
17.01. 14:00 ,   -18.03,     4.49,    21.68,    39.67,    33.76,  26.8610,    34.73,    34.87,  27.9760
17.01. 14:30 ,   -18.03,     4.63,    21.68,    39.67,    33.76,  26.8610,    34.73,    34.87,  27.9760
17.01. 15:00 ,   -18.03,     4.70,    21.68,    39.67,    33.76,  26.8610,    34.73,    34.87,  27.9760
17.01. 15:30 ,   -18.03,     4.63,    21.68,    39.67,    33.76,  26.8610,    34.73,    34.87,  27.9760
17.01. 16:00 ,   -18.03,     4.63,    21.68,    39.67,    33.76,  26.8610,    34.70,    34.87,  27.9760
17.01. 16:30 ,   -18.03,     4.56,    21.84,    39.67,    33.76,  26.8610,    34.70,    34.87,  27.9760
17.01. 17:00 ,   -18.03,     4.43,    21.84,    39.67,    33.76,  26.8610,    34.70,    34.87,  27.9760
17.01. 17:30 ,   -18.03,     4.36,    21.84,    39.67,    33.77,  26.8610,    34.70,    34.85,  27.9760
17.01. 18:00 ,   -18.03,     4.30,    21.84,    39.63,    33.77,  26.8610,    34.70,    34.85,  27.9760
17.01. 18:30 ,   -18.03,     4.30,    21.84,    39.67,    33.77,  26.8610,    34.70,    34.85,  27.9760
17.01. 19:00 ,   -18.03,     4.11,    21.84,    39.67,    33.77,  26.8610,    34.70,    34.82,  27.9760
17.01. 19:30 ,   -18.03,     3.98,    21.84,    39.63,    33.74,  26.8610,    34.70,    34.82,  27.9760
17.01. 20:00 ,   -18.03,     3.98,    21.84,    39.63,    33.77,  26.8610,    34.68,    34.82,  27.9760
17.01. 20:30 ,   -18.03,     3.92,    21.84,    39.63,    33.74,  26.8610,    34.70,    34.82,  27.9760
17.01. 21:00 ,   -18.03,     3.85,    21.84,    39.63,    33.74,  26.8610,    34.68,    34.82,  27.9760
17.01. 21:30 ,   -18.03,     3.79,    21.84,    39.63,    33.74,  26.8610,    34.68,    34.82,  27.9760
17.01. 22:00 ,   -18.03,     3.79,    21.84,    39.63,    33.74,  26.8610,    34.68,    34.82,  27.9760
17.01. 22:30 ,   -18.03,     3.79,    21.84,    39.63,    33.77,  26.8610,    34.68,    34.79,  27.9760
17.01. 23:00 ,   -18.03,     3.79,    21.83,    39.63,    33.74,  26.8610,    34.68,    34.82,  27.9760
17.01. 23:30 ,   -18.03,     3.79,    21.84,    39.63,    33.74,  26.8610,    34.68,    34.82,  27.9760
18.01. 00:00 ,   -18.03,     3.73,    21.83,    39.63,    33.77,  26.8610,    34.68,    34.82,  27.9760
18.01. 00:30 ,   -18.03,     3.73,    21.84,    39.63,    33.77,  26.8610,    34.68,    34.79,  27.9760
18.01. 01:00 ,   -18.03,     3.73,    21.84,    39.63,    33.74,  26.8610,    34.68,    34.79,  27.9760
18.01. 01:30 ,   -18.03,     3.73,    21.84,    39.63,    33.74,  26.8610,    34.65,    34.79,  27.9760
18.01. 02:00 ,   -18.03,     3.73,    21.84,    39.63,    33.77,  26.8610,    34.65,    34.79,  27.9760
18.01. 02:30 ,   -18.03,     3.66,    21.84,    39.59,    33.74,  26.8610,    34.65,    34.79,  27.9760
18.01. 03:00 ,   -18.03,     3.60,    21.84,    39.63,    33.77,  26.8610,    34.65,    34.76,  27.9760
18.01. 03:30 ,   -18.03,     3.54,    21.84,    39.63,    33.77,  26.8610,    34.65,    34.76,  27.9760
18.01. 04:00 ,   -18.03,     3.47,    21.84,    39.63,    33.77,  26.8610,    34.65,    34.76,  27.9760
18.01. 04:30 ,   -18.03,     3.28,    21.84,    39.63,    33.74,  26.8610,    34.65,    34.76,  27.9760
18.01. 05:00 ,   -18.03,     3.15,    21.67,    39.60,    33.77,  26.8610,    34.65,    34.76,  27.9760
