DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,,,,,,,,
Sensor code,,,,,,,,,,,,,,
          Datum, CO1_Kanäle,            BREGENXX,            BTA1XT01,          BTA1XT03,            BTA1XT06,          BTA1XT12,           BTA1XT18,            BTA1ZT01,           BTA1ZT03,         BTA1ZT06,          BTA1ZT12,          BTA1ZT18, LogTempB
Units,,,,,,,,,,,,,,
Minimum value,,,,,,,,,,,,,,
Maximum value,,,,,,,,,,,,,,
01/01 18:00:00 ,         12,               0.000,              571.60,            698.70,              370.30,            127.61,              19.90,               -1.40,              67.03,            62.93,           2887.90,          -2401.80,       -1
01/01 18:30:00 ,         12,               0.000,              571.60,            698.70,              369.60,            127.14,              19.90,               -1.87,              67.03,            62.49,           2887.90,          -2491.00,       -1
01/01 19:00:00 ,         12,               0.000,              571.60,            698.70,              369.60,            126.98,              19.90,               -1.87,              67.03,            62.49,           2887.90,          -2695.20,       -1
01/01 19:30:00 ,         12,               0.000,              571.60,            698.70,              369.00,            127.61,              19.90,               -1.64,              67.03,            62.67,           2887.90,          -2847.60,       -1
01/01 20:00:00 ,         12,               0.000,              571.60,            698.70,              369.60,            128.24,              19.90,               -0.46,              67.03,            63.38,           2887.90,          -2982.80,       -1
01/01 20:30:00 ,         12,               0.000,              570.60,            698.70,              369.60,            128.24,              20.40,               -0.46,              67.03,            63.64,           2887.90,          -3077.80,       -1
01/01 21:00:00 ,         12,               0.000,              570.60,            699.40,              369.60,            127.76,              20.80,               -0.46,              67.03,            63.38,           2887.90,          -3115.90,       -1
01/01 21:30:00 ,         12,               0.000,              570.60,            699.40,              369.00,            127.14,              19.90,               -1.64,              67.03,            62.67,           2887.90,          -3115.90,       -1
01/01 22:00:00 ,         12,               0.000,              571.60,            699.40,              368.40,            126.98,              19.90,               -1.87,              67.03,            62.49,           2887.90,          -3115.90,       -1
01/01 22:30:00 ,         12,               0.000,              570.60,            699.40,              368.40,            126.98,              19.90,               -1.87,              67.03,            62.49,           2887.90,          -3115.90,       -1
01/01 23:00:00 ,         12,               0.000,              570.60,            699.40,              368.40,            127.61,              19.90,               -1.16,              67.03,            63.20,           2887.90,          -3115.90,       -1
01/01 23:30:00 ,         12,               0.000,              570.60,            699.40,              368.40,            127.61,              19.90,               -1.16,              67.21,            63.20,           2887.90,          -3115.90,       -1
02/01 00:00:00 ,         12,               0.000,              570.60,            699.40,              367.80,            127.37,              19.90,               -1.16,              67.03,            63.20,           2887.90,          -3115.90,       -1
02/01 00:30:00 ,         12,               0.000,              570.60,            699.40,              367.80,            127.37,              19.20,               -1.41,              67.47,            62.93,           2887.90,          -3115.90,       -1
02/01 01:00:00 ,         12,               0.000,              570.60,            699.40,              367.10,            127.14,              19.00,               -1.87,              67.47,            62.49,           2887.90,          -3115.90,       -1
02/01 01:30:00 ,         12,               0.000,              571.60,            699.40,              366.50,            126.98,              19.00,               -1.87,              67.47,            62.49,           2887.90,          -3115.90,       -1
02/01 02:00:00 ,         12,               0.000,              571.60,            699.40,              366.50,            126.98,              19.00,               -1.87,              67.47,            62.67,           2887.90,          -3115.90,       -1
02/01 02:30:00 ,         12,               0.000,              571.60,            699.40,              365.90,            126.98,              19.00,               -1.64,              67.47,            62.49,           2887.90,          -3115.90,       -1
02/01 03:00:00 ,         12,               0.000,              571.60,            699.40,              365.90,            126.98,              19.00,               -1.16,              67.29,            63.20,           2887.90,          -3115.90,       -1
02/01 03:30:00 ,         12,               0.000,              570.60,            700.10,              365.90,            127.37,              19.00,               -1.16,              67.47,            63.20,           2887.90,          -3115.90,       -1
02/01 04:00:00 ,         12,               0.000,              570.60,            700.10,              365.90,            127.37,              19.00,               -1.16,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 04:30:00 ,         12,               0.000,              570.60,            700.10,              365.30,            127.61,              19.00,               -1.16,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 05:00:00 ,         12,               0.000,              570.60,            699.40,              365.30,            127.37,              18.40,               -1.16,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 05:30:00 ,         12,               0.000,              570.60,            699.40,              364.70,            127.14,              18.20,               -1.16,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 06:00:00 ,         12,               0.000,              570.60,            699.40,              364.70,            126.75,              18.20,               -1.16,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 06:30:00 ,         12,               0.000,              570.60,            699.40,              364.00,            126.75,              18.20,               -1.16,              67.73,            62.67,           2887.90,          -3115.90,       -1
02/01 07:00:00 ,         12,               0.000,              570.60,            699.40,              364.00,            126.98,              18.20,               -0.92,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 07:30:00 ,         12,               0.000,              569.60,            700.10,              364.00,            127.22,              18.20,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 08:00:00 ,         12,               0.000,              569.60,            700.10,              364.00,            126.98,              18.20,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 08:30:00 ,         12,               0.000,              569.60,            700.10,              363.40,            126.98,              18.20,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 09:00:00 ,         12,               0.000,              569.60,            700.10,              363.40,            126.98,              18.20,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 09:30:00 ,         12,               0.000,              569.60,            700.10,              362.80,            126.75,              18.20,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 10:00:00 ,         12,               0.000,              569.60,            700.10,              362.20,            126.75,              17.80,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 10:30:00 ,         12,               0.000,              569.60,            700.10,              362.20,            126.51,              17.50,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 11:00:00 ,         12,               0.000,              569.60,            700.10,              362.20,            126.51,              17.50,               -0.46,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 11:30:00 ,         12,               0.000,              569.60,            700.10,              361.60,            126.35,              17.30,               -0.69,              67.73,            62.67,           2887.90,          -3115.90,       -1
02/01 12:00:00 ,         12,               0.000,              570.60,            700.10,              360.90,            125.88,              16.60,               -1.16,              67.73,            62.49,           2887.90,          -3115.90,       -1
02/01 12:30:00 ,         12,               0.000,              569.60,            699.40,              359.70,            126.12,              16.40,               -1.16,              67.73,            62.49,           2887.90,          -3115.90,       -1
02/01 13:00:00 ,         12,               0.000,              569.60,            699.40,              359.70,            126.35,              16.40,               -0.70,              67.73,            62.67,           2887.90,          -3115.90,       -1
02/01 13:30:00 ,         12,               0.000,              569.60,            699.40,              359.10,            126.51,              16.40,                0.01,              67.73,            63.20,           2887.90,          -3115.90,       -1
02/01 14:00:00 ,         12,               0.000,              569.60,            699.40,              359.10,            126.35,              16.40,                0.24,              67.99,            63.20,           2887.90,          -3115.90,       -1
02/01 14:30:00 ,         12,               0.000,              568.70,            699.40,              359.70,            127.14,              16.60,                0.95,              67.90,            64.09,           2887.90,          -3115.90,       -1
02/01 15:00:00 ,         12,               0.000,              568.70,            699.40,              359.70,            126.98,              17.30,                1.41,              67.90,            64.09,           2887.90,          -3115.90,       -1
