DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,
Sensor code,,,,,,,
          Datum, CO3_Kanäle,            FWINDXXX,          FREGENXX,         FReLuxxx,            FTempxxx,           FGlobalx
Units,,,,,,,
Minimum value,,,,,,,
Maximum value,,,,,,,
02/01 11:30:00 ,          5,               0.531,               0.0,           89.750,               -2.56,              11.53
02/01 12:00:00 ,          5,               0.581,               0.0,           89.700,               -2.51,              12.64
02/01 12:30:00 ,          5,               0.564,               0.0,           88.420,               -2.61,              17.74
02/01 13:00:00 ,          5,               0.438,               0.0,           89.190,               -2.61,              13.91
02/01 13:30:00 ,          5,               0.448,               0.0,           88.630,               -2.71,              12.28
02/01 14:00:00 ,          5,               0.304,               0.0,           89.400,               -2.87,               7.18
02/01 14:30:00 ,          5,               0.333,               0.0,           89.910,               -3.07,               5.29
02/01 15:00:00 ,          5,               0.362,               0.0,           89.190,               -3.12,               6.04
02/01 15:30:00 ,          5,               0.399,               0.0,           88.830,               -3.23,               3.97
02/01 16:00:00 ,          5,               0.316,               0.0,           88.780,               -3.23,               2.83
02/01 16:30:00 ,          5,               0.380,               0.0,           88.320,               -3.28,               0.39
02/01 17:00:00 ,          5,               0.221,               0.0,           89.800,               -3.38,               0.03
02/01 17:30:00 ,          5,               0.254,               0.0,           89.910,               -3.43,               0.03
02/01 18:00:00 ,          5,               0.461,               0.0,           88.780,               -3.38,               0.03
02/01 18:30:00 ,          5,               0.155,               0.0,           90.780,               -3.53,               0.03
02/01 19:00:00 ,          5,               0.176,               0.0,           92.060,               -3.53,               0.03
02/01 19:30:00 ,          5,               0.473,               0.0,           91.800,               -3.53,               0.03
02/01 20:00:00 ,          5,               0.269,               0.0,           91.850,               -3.58,               0.03
02/01 20:30:00 ,          5,               0.343,               0.0,           91.290,               -3.64,               0.03
02/01 21:00:00 ,          5,               0.471,               0.0,           91.340,               -3.58,               0.03
02/01 21:30:00 ,          5,               0.537,               0.0,           92.110,               -3.69,               0.03
02/01 22:00:00 ,          5,               0.525,               0.0,           94.570,               -3.84,               0.03
02/01 22:30:00 ,          5,               0.409,               0.0,           96.460,               -3.94,               0.03
02/01 23:00:00 ,          5,               0.223,               0.0,           97.230,               -3.94,               0.03
02/01 23:30:00 ,          5,               0.417,               0.0,           97.230,               -3.89,               0.03
03/01 00:00:00 ,          5,               0.345,               0.0,           97.230,               -3.89,               0.03
03/01 00:30:00 ,          5,               0.380,               0.0,           97.020,               -3.89,               0.03
03/01 01:00:00 ,          5,               0.285,               0.0,           97.590,               -3.94,               0.03
03/01 01:30:00 ,          5,               0.370,               0.0,           98.460,               -3.94,               0.03
03/01 02:00:00 ,          5,               0.312,               0.0,           99.120,               -3.99,               0.03
03/01 02:30:00 ,          5,               0.895,               0.0,           99.430,               -3.99,               0.03
03/01 03:00:00 ,          5,               0.599,               0.0,           99.430,               -3.99,               0.03
03/01 03:30:00 ,          5,               0.558,               0.0,           99.430,               -3.99,               0.03
03/01 04:00:00 ,          5,               0.285,               0.0,           99.430,               -3.94,               0.03
03/01 04:30:00 ,          5,               0.343,               0.0,           99.430,               -3.94,               0.03
03/01 05:00:00 ,          5,               0.306,               0.0,           99.430,               -3.94,               0.03
03/01 05:30:00 ,          5,               0.304,               0.0,           99.430,               -3.94,               0.03
03/01 06:00:00 ,          5,               0.607,               0.0,           99.430,               -3.99,               0.03
03/01 06:30:00 ,          5,               0.254,               0.0,           99.430,               -3.99,               0.03
03/01 07:00:00 ,          5,               0.287,               0.0,           99.430,               -4.04,               0.03
03/01 07:30:00 ,          5,               0.541,               0.0,           99.430,               -4.10,               0.03
03/01 08:00:00 ,          5,               0.512,               0.0,           99.430,               -4.10,               0.03
03/01 08:30:00 ,          5,               0.676,               0.0,           99.430,               -4.10,               0.03
03/01 09:00:00 ,          5,               0.574,               0.0,           99.430,               -4.15,               0.94
03/01 09:30:00 ,          5,               0.411,               0.0,           99.430,               -4.10,               4.15
03/01 10:00:00 ,          5,               0.353,               0.0,           99.430,               -3.99,               6.61
03/01 10:30:00 ,          5,               0.440,               0.0,           99.430,               -4.04,               6.80
03/01 11:00:00 ,          5,               0.512,               0.0,           99.430,               -4.04,              11.53
03/01 11:30:00 ,          5,               0.411,               0.0,           99.430,               -3.94,              13.60
03/01 12:00:00 ,          5,               0.401,               0.0,           99.430,               -3.84,              15.68
03/01 12:30:00 ,          5,               0.322,               0.0,           99.430,               -3.79,              11.71
03/01 13:00:00 ,          5,               0.349,               0.0,           99.430,               -3.79,              13.99
03/01 13:30:00 ,          5,               0.324,               0.0,           99.430,               -3.74,              11.53
03/01 14:00:00 ,          5,               0.335,               0.0,           99.430,               -3.74,              11.15
03/01 14:30:00 ,          5,               0.355,               0.0,           99.430,               -3.74,               7.37
03/01 15:00:00 ,          5,               0.279,               0.0,           99.430,               -3.74,               5.26
03/01 15:30:00 ,          5,               0.717,               0.0,           99.430,               -3.84,               3.97
03/01 16:00:00 ,          5,               0.258,               0.0,           99.430,               -3.79,               3.58
03/01 16:30:00 ,          5,               0.469,               0.0,           99.430,               -3.89,               0.75
03/01 17:00:00 ,          5,               0.452,               0.0,           99.430,               -3.94,               0.03
03/01 17:30:00 ,          5,               0.554,               0.0,           99.430,               -3.94,               0.03
03/01 18:00:00 ,          5,               0.178,               0.0,           99.430,               -3.79,               0.03
03/01 18:30:00 ,          5,               0.244,               0.0,           99.430,               -3.79,               0.03
03/01 19:00:00 ,          5,               0.238,               0.0,           99.430,               -3.89,               0.03
03/01 19:30:00 ,          5,               0.225,               0.0,           99.430,               -3.84,               0.03
03/01 20:00:00 ,          5,               0.068,               0.0,           99.430,               -3.79,               0.03
03/01 20:30:00 ,          5,               0.196,               0.0,           99.430,               -3.74,               0.03
03/01 21:00:00 ,          5,               0.244,               0.0,           99.430,               -3.79,               0.03
03/01 21:30:00 ,          5,               0.200,               0.0,           99.430,               -3.74,               0.03
03/01 22:00:00 ,          5,               0.120,               0.0,           99.430,               -3.74,               0.03
03/01 22:30:00 ,          5,               0.159,               0.0,           99.430,               -3.79,               0.03
