DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.01. 23:30
Start_Year: 2021
Channel number,,,,,,,,,,,
Sensor code,,,,,,,,,,,
        Datum, Logtemp, BoTemp10, BoTemp30, ThTa_A15, ThTa_B15, ThTa_A30, ThTa_B30, ThTa_A60, ThTa_B60, EsModem
Units,,,,,,,,,,,
Minimum value,,,,,,,,,,,
Maximum value,,,,,,,,,,,
01.01. 21:30 ,   -0.30,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
01.01. 22:00 ,   -0.49,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
01.01. 22:30 ,   -0.63,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
01.01. 23:00 ,   -0.79,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
01.01. 23:30 ,   -0.93,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 00:00 ,   -1.03,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 00:30 ,   -1.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 01:00 ,   -1.30,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 01:30 ,   -1.42,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 02:00 ,   -1.57,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 02:30 ,   -1.65,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.20
02.01. 03:00 ,   -1.70,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.20
02.01. 03:30 ,   -1.70,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 04:00 ,   -1.61,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 04:30 ,   -1.50,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 05:00 ,   -1.39,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 05:30 ,   -1.29,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.20
02.01. 06:00 ,   -1.20,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 06:30 ,   -1.13,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 07:00 ,   -1.06,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 07:30 ,   -1.03,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 08:00 ,   -0.99,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 08:30 ,   -0.99,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 09:00 ,   -1.00,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 09:30 ,   -0.99,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 10:00 ,   -0.97,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 10:30 ,   -0.92,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.21
02.01. 11:00 ,   -0.89,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.23,    -0.28,    5.20
02.01. 11:30 ,   -0.81,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 12:00 ,   -0.73,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 12:30 ,   -0.57,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 13:00 ,   -0.45,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 13:30 ,   -0.33,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 14:00 ,   -0.21,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 14:30 ,   -0.10,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 15:00 ,   -0.01,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 15:30 ,    0.07,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 16:00 ,    0.15,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 16:30 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 17:00 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 17:30 ,    0.18,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 18:00 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 18:30 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 19:00 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 19:30 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 20:00 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 20:30 ,    0.17,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.20
02.01. 21:00 ,    0.15,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 21:30 ,    0.14,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 22:00 ,    0.10,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 22:30 ,    0.09,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
02.01. 23:00 ,    0.09,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.20
02.01. 23:30 ,    0.03,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
03.01. 00:00 ,    0.03,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
03.01. 00:30 ,    0.05,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
03.01. 01:00 ,    0.03,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
03.01. 01:30 ,    0.01,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
03.01. 02:00 ,    0.02,    30.03,    30.03,    -0.28,    -0.28,    -0.28,    -0.28,    -0.24,    -0.28,    5.21
